"MOLECULE","Prediction"
"ACT1_M_79",4.59587257860344
"ACT1_M_454",4.76760640945166
"ACT1_M_3032",4.48510512738032
"ACT1_M_3612",4.79687578741385
"ACT1_M_3616",4.42311504707092
"ACT1_M_4110",4.63034411973547
"ACT1_M_5511",4.45016116068536
"ACT1_M_6338",4.49380971912106
"ACT1_M_6410",4.58837309732665
"ACT1_M_6454",4.52932860083997
"ACT1_M_6528",4.62523070762349
"ACT1_M_6535",4.8641293314165
"ACT1_M_6702",4.52733010765375
"ACT1_M_6712",4.52539712347909
"ACT1_M_6714",4.55714036052421
"ACT1_M_12585",4.68244958928571
"ACT1_M_14862",4.67816084069264
"ACT1_M_17318",4.58858079403519
"ACT1_M_17377",4.3936106150738
"ACT1_M_17408",4.70962414523615
"ACT1_M_17544",4.53173434325397
"ACT1_M_17598",4.46267647966647
"ACT1_M_17605",4.4195449244199
"ACT1_M_17645",4.55056451765818
"ACT1_M_17646",4.55056451765818
"ACT1_M_17674",4.5318386935661
"ACT1_M_18502",4.6097276013986
"ACT1_M_18647",4.7857415537037
"ACT1_M_19019",4.864007
"ACT1_M_19958",4.97043397638146
"ACT1_M_23525",5.09457396428571
"ACT1_M_24669",4.79778668171296
"ACT1_M_25079",4.75206105948569
"ACT1_M_25151",4.39513028045286
"ACT1_M_25199",4.44402593027633
"ACT1_M_26900",4.91532022202797
"ACT1_M_27242",4.78943030211455
"ACT1_M_27246",4.71035043693927
"ACT1_M_27286",4.89193260081585
"ACT1_M_27292",4.73618207003777
"ACT1_M_27296",4.69548108241758
"ACT1_M_27529",4.78426846757164
"ACT1_M_27596",4.99938272802198
"ACT1_M_27597",4.50644096413041
"ACT1_M_27817",4.68323658541125
"ACT1_M_28304",4.57473825838348
"ACT1_M_29634",4.53929697123555
"ACT1_M_29635",4.57083713314948
"ACT1_M_32868",4.84407996870658
"ACT1_M_33021",4.87777504122408
"ACT1_M_33553",5.02224307334869
"ACT1_M_34162",4.61165566543186
"ACT1_M_35091",4.44408572386593
"ACT1_M_35989",4.78966211329749
"ACT1_M_36205",4.40808048106061
"ACT1_M_38637",4.62532055011521
"ACT1_M_38888",4.47582088864399
"ACT1_M_38889",4.47582088864399
"ACT1_M_40134",4.52929113571492
"ACT1_M_40135",4.57270671047464
"ACT1_M_40136",4.63222524012294
"ACT1_M_40421",4.51767756180223
"ACT1_M_40799",4.57390069329153
"ACT1_M_40800",4.47005309863118
"ACT1_M_41194",4.59075234386406
"ACT1_M_41195",4.82183588794539
"ACT1_M_41197",4.57500144706652
"ACT1_M_41200",4.49633925495519
"ACT1_M_41823",4.37777369515699
"ACT1_M_42623",4.46264476104798
"ACT1_M_43069",4.62921939106188
"ACT1_M_43107",4.64098264935065
"ACT1_M_44049",4.65026233823519
"ACT1_M_44083",4.59316076330346
"ACT1_M_45341",4.83395451136364
"ACT1_M_45841",4.58886172222222
"ACT1_M_46774",4.77085541033256
"ACT1_M_46793",4.39513117362883
"ACT1_M_46894",4.9786102071833
"ACT1_M_47128",5.0479337978022
"ACT1_M_47922",4.4740201761583
"ACT1_M_48208",4.92425227380952
"ACT1_M_48507",4.83405589262335
"ACT1_M_48594",4.82747412968928
"ACT1_M_49788",4.89164269047619
"ACT1_M_50247",4.40158648705284
"ACT1_M_50353",4.36290789825663
"ACT1_M_50541",4.76959928739888
"ACT1_M_50858",4.91174251215479
"ACT1_M_51377",4.45730297670251
"ACT1_M_51397",4.5446610009078
"ACT1_M_51814",4.75431582167571
"ACT1_M_52425",4.76781566804181
"ACT1_M_53242",5.04372126960784
"ACT1_M_53349",4.59391744354839
"ACT1_M_53564",4.82122672619048
"ACT1_M_53690",4.77207982675439
"ACT1_M_53736",4.51915858956693
"ACT1_M_53747",4.85926630627706
"ACT1_M_53760",4.72273615066964
"ACT1_M_53808",4.53186431859977
"ACT1_M_53817",4.577456034913
"ACT1_M_53818",4.53698089646335
"ACT1_M_53922",4.81448209774647
"ACT1_M_53927",4.5579784806802
"ACT1_M_53930",4.59989953754579
"ACT1_M_53932",4.73361160322367
"ACT1_M_53933",4.73426397375241
"ACT1_M_53944",4.4207105817687
"ACT1_M_54241",4.62096646087466
"ACT1_M_54333",4.79409893870773
"ACT1_M_54458",4.46633825830821
"ACT1_M_54509",4.327913
"ACT1_M_54531",4.73508368073593
"ACT1_M_54568",4.45465886281362
"ACT1_M_54609",4.64683582725279
"ACT1_M_54636",5.15336566666667
"ACT1_M_55145",4.90544864903846
"ACT1_M_55423",4.62844229012902
"ACT1_M_55664",4.47860013504834
"ACT1_M_55723",4.75200646422956
"ACT1_M_55977",4.49732748803828
"ACT1_M_56076",4.57706338180331
"ACT1_M_56467",4.6175381716792
"ACT1_M_56483",4.43815524161767
"ACT1_M_57507",4.76143423141075
"ACT1_M_57530",4.57450971362434
"ACT1_M_57547",4.84123924785903
"ACT1_M_57800",4.88495588797314
"ACT1_M_57973",4.57119173786252
"ACT1_M_58006",4.68986567864064
"ACT1_M_58564",4.77176171130952
"ACT1_M_58642",5.60398268103448
"ACT1_M_59671",4.70260189655655
"ACT1_M_59673",4.52976625816198
"ACT1_M_60440",4.57560404747732
"ACT1_M_60978",4.6393505297619
"ACT1_M_61287",4.6004731924786
